roomid,action_seqs,label
21448348459,35|35|2|2|1|6|1|25|1|7|1|1|2|8|2|2|2|1|1|35|35|1|2|1|1|1|1|2|1|1|2|1|1|8|7|2|2|2|2|2|2|2|1|2|1|1|2|1|1|1|2|2|2|1|2|1|1|2|2|1|1|1|1|2|1|1|8|1|1|1|35|35|33|33|33|33|1|30|8|1|1|39|1|2|1|2|2|2|1|2|1|2|1|1|1|1|1|1|1|1|2|1|1|1|1|1|8|8|1|35|35|33|33|33|33|30|1|35|35|33|33|2|2|2|33|33|33|33|30|1|30|1|2|2|2|2|2|30|1|1|30|30|8,1
21886216630,7|7|2|2|2|2|2|1|2|2,1
22836617554,8|1|2|1|3|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|35|35|35|35|30|33|33|33|33|30|1|33|33|33|33|33|33|33|33|33|33|8|35|35|33|33|33|33|32|35|35|1|1|2|1|8,1
25099118039,3|1|1|3|7|35|35|35|35|3|1|33|33|33|33|2|35|35|33|33|2|1|3|1|3|2|8|8|3|1|39|1|3,1
25109519355,2|1|1|1|2|2|2|8|2|2|2,1
27022511977,33|33|33|33|32|35|35|33|33|33|33|2|33|33|33|33|33|33|33|33|1|32|35|35|1|32|35|35|1|1|1|1|1|32|35|35|1|1|1|1|1|1|33|33|33|33|1|1|2|35|35|33|33|33|33|33|2|2|2|32|35|35|32|35|35|32|35|35|32|35|35|1|1|1|1|1|1|33|33|33|33|1|33|33|33|33|1|2|8|1|1|33|33|30|32|35|35|2|2|2|2|1|1|2|2|32|35|35|30|33|33|33|33|32|35|35|33|33|33|33|2|32|35|35|2|2|2|2|1|32|35|35|2|33|33|33|33|32|35|35|33|33|33|33|2|33|33|33|33|33|33|1|33|33|2|32|35|35|35|35|33|33|33|33|32|35|35|2|33|33|33|33|33|33|35|35|1|1|39|1|1|1|1|1|35|35|1|1|1|1|2|2|35|35|35|35|2|2|32|35|35|33|33|33|33|30|32|35|35|32|35|35|33|33|33|33|33|33|33|33|2|32|35|35|2|39,1
34569592052,2|1|3|1|3|35|35|33|33|2|33|33|33|33|33|33|38|38|34|34|34|34|8|33|33|33|33|2|8|8|8|8|8|8|2|2|8|8|2|2|38|34|34|34|34|34|34|34|34|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|8|2|38|8|2|25|8|33|33|33|33|33|33|3|1,1
34685480118,39|33|33|2|35|35|2|2|33|33|35|35|1|2|20|35|35|35|35|33|33|33|33|1|3|3|1|1|3|1|3|1|3|1|3|35|35|33|33|33|33|33|33|35|35|33|33|33|33|33|33|33|33|35|35|33|33|33|33|33|33|35|35|33|33|33|33|39|33|33|35|35|33|33,1
34907670050,2|2|1|3|2|2|2|2|1|3|2|39|2|2|2,1
38869159299,35|35|55|51|35|35|33|33|33|33|51|2|51|2|51|51|8|51|2|8|51|8|51|2|51|2|8|2|2|2|2|2|55|51|51,1
39161845708,2|1|1|2|47|2|9|2|39|2|15|39|39|1|1|1|1|3|7|39|2|53|39|8|55|51|51|51|51|51|51|51|51|51|30|30|51|35|35|35|35|51|33|33|33|33|33|33|33|33|33|33|33|33|51|35|35|35|35|35|35|7|7|2|2|2|2|2|33|33|33|33|33|33|33|33|2|2|33|33|33|33|8|8|51|39|51|1|1|7|51|2|1|1,1
43598791601,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|55|51|51|51|51|51|51|51,1
44122594879,2|2|2|2|2|2|2|1|1|1|55|51|1|51|1|2|51|2|51|1|51|2|2|2|1,1
